Date_of_Birth,Gender,Marital_Status,Number_of_Dependents,Monthly_Income,Sources_of_Income,Current_Loans,Debt_to_Income_Ratio,Property_Ownership,Employment_Status,Job_Tenure_Work_Experience,Credit_Score,Loan_Amount_Requested,Loan_Purpose,Desired_Loan_Tenure,Rent_Payment_History,Utility_Bill_Payments,Spending_Patterns,BNPL_Payment_History,Gig_Economy_Income,Behavioral_Data,Loan_Approved
1991-02-27,Female,Married,1,56803,Secondary,Multiple,0.42,Owned,Government,29,827,23922354,Home,108,Poor,Good,Aggressive,Average,No,Very_Negative,0
2002-01-17,Male,Married,6,466860,Pension,Yes,0.84,Commercial_Owned,Student,0,443,40411359,Business,72,Good,N/A,Erratic,Good,Yes,Very_Negative,0
1959-05-17,Female,Married,1,473447,Secondary,No,0.29,Rented,Unemployed,0,593,11940056,Travel,360,Average,N/A,Impulsive,N/A,Yes,Positive,0
1968-12-24,Male,Single,7,808673,Investments,No,0.87,Commercial_Owned,Salaried,23,748,21133479,Home,24,Poor,Poor,Cautious,Average,Yes,Very_Negative,1
1991-10-26,Male,Married,3,461487,Primary,Yes,0.41,Commercial_Owned,Unemployed,0,376,1583795,Home,60,Poor,Average,Consistent,Good,No,Very_Negative,0
1963-11-09,Male,Single,9,64602,Pension,No,0.13,Commercial_Owned,Self-Employed,4,479,4849903,Vehicle,48,Good,Good,Impulsive,Good,Yes,Very_Positive,1
2007-04-19,Female,Married,7,296188,Pension,No,0.5,Commercial_Owned,Student,0,574,11017172,Vehicle,300,Poor,Good,Erratic,N/A,Yes,Positive,0
2000-12-26,Female,Married,7,736731,Primary,No,0.83,Owned,Retired,0,636,12943709,Travel,300,N/A,Average,Consistent,Poor,Yes,Very_Positive,1
1959-06-05,Male,Single,3,582945,Primary,Multiple,0.1,Joint_Ownership,Government,26,721,10960873,Home,60,N/A,Average,Erratic,Good,Yes,Very_Positive,1
1997-11-03,Male,Single,0,488431,Rental_Income,Yes,0.21,Commercial_Rented,Student,0,387,11632113,Medical,96,Good,N/A,Cautious,Good,No,Negative,0
1956-05-13,Female,Single,8,872263,Rental_Income,Yes,0.06,Joint_Ownership,Salaried,21,720,12721581,Medical,36,Poor,Average,Erratic,N/A,Yes,Negative,0
1991-09-25,Female,Single,5,236509,Secondary,Yes,0.79,Commercial_Owned,Self-Employed,21,513,13139736,Home,48,Good,N/A,Erratic,N/A,No,Negative,0
1980-02-15,Male,Married,10,801746,Investments,Multiple,0.62,Rented,Self-Employed,7,889,2826222,Education,300,Good,N/A,Cautious,Good,Yes,Very_Positive,1
1984-05-02,Male,Single,6,948508,Primary,Yes,0.01,Commercial_Owned,Self-Employed,34,874,6245665,Wedding,12,Good,Average,Consistent,Poor,No,Neutral,1
1983-04-11,Male,Married,7,947003,Pension,Multiple,0.17,Joint_Ownership,Unemployed,0,432,33185863,Personal,72,Poor,Average,Impulsive,Poor,Yes,Neutral,0
1977-04-23,Female,Married,8,645531,Secondary,Yes,0.56,Rented,Student,0,605,12033743,Medical,240,Average,Average,Aggressive,N/A,Yes,Very_Negative,0
1965-06-15,Female,Married,6,207016,Secondary,Multiple,0.43,Commercial_Rented,Student,0,575,30242544,Business,24,Average,Good,Aggressive,Poor,Yes,Positive,0
2005-01-18,Female,Married,5,808916,Rental_Income,Yes,0.22,Owned,Salaried,9,862,40783660,Debt_Consolidation,96,Poor,N/A,Cautious,Good,Yes,Neutral,0
1979-06-18,Female,Married,9,601424,Pension,Yes,0.88,Joint_Ownership,Self-Employed,14,865,42125535,Education,12,N/A,Good,Impulsive,Average,Yes,Positive,1
2000-02-16,Male,Single,10,621985,Primary,No,0.53,Commercial_Rented,Student,0,870,35992617,Education,36,Poor,Poor,Consistent,Average,Yes,Very_Negative,0
1969-06-02,Male,Single,8,260643,Rental_Income,Yes,0.56,Joint_Ownership,Self-Employed,33,401,24993953,Personal,12,Poor,Good,Consistent,Good,Yes,Very_Positive,0
1963-10-07,Male,Married,8,447494,Primary,Multiple,0.36,Joint_Ownership,Government,29,808,4493965,Personal,120,N/A,N/A,Consistent,N/A,No,Negative,1
1994-07-15,Male,Single,6,912502,Secondary,Multiple,0.78,Owned,Salaried,31,509,9986961,Vehicle,84,Good,Poor,Aggressive,Good,Yes,Positive,1
1963-12-09,Female,Married,6,149040,Investments,Yes,0.56,Joint_Ownership,Student,0,540,41014326,Personal,72,Poor,Average,Consistent,Poor,Yes,Negative,0
1977-09-13,Female,Married,2,628812,Rental_Income,No,0.25,Commercial_Owned,Self-Employed,33,421,29436599,Debt_Consolidation,180,Poor,Good,Consistent,N/A,Yes,Neutral,1
1959-03-26,Female,Single,7,385978,Multiple,Yes,0.19,Commercial_Rented,Retired,0,467,40412598,Home,36,N/A,Poor,Cautious,Good,Yes,Negative,0
1983-02-17,Female,Married,0,103960,Pension,Yes,0.02,Commercial_Owned,Government,11,722,30254925,Personal,360,Average,Average,Consistent,Poor,No,Positive,1
1986-08-07,Female,Married,9,721438,Secondary,Yes,0.46,Commercial_Owned,Self-Employed,3,309,48212889,Debt_Consolidation,120,Poor,Good,Cautious,Poor,Yes,Positive,1
2005-05-21,Male,Single,10,902521,Pension,No,0.25,Commercial_Rented,Salaried,14,814,28777754,Personal,96,Average,N/A,Cautious,N/A,Yes,Negative,1
1951-11-06,Male,Married,8,156085,Multiple,Multiple,0.44,Commercial_Owned,Government,4,582,40184682,Home,120,Poor,N/A,Consistent,N/A,No,Very_Negative,0
1972-12-28,Male,Single,4,367022,Rental_Income,Multiple,0.46,Commercial_Rented,Unemployed,0,340,38721557,Medical,48,N/A,Average,Consistent,Good,Yes,Positive,0
1952-01-12,Female,Married,0,266234,Multiple,No,0.86,Owned,Student,0,716,9934858,Home,108,Average,Poor,Erratic,Poor,No,Neutral,0
1993-12-23,Female,Single,9,54942,Secondary,Multiple,0.86,Joint_Ownership,Self-Employed,27,426,33361244,Personal,24,Poor,Poor,Impulsive,Average,No,Positive,0
1982-10-20,Male,Single,1,39871,Secondary,Yes,0.1,Owned,Salaried,36,366,2757126,Vehicle,60,N/A,Good,Cautious,N/A,No,Very_Negative,0
1963-09-23,Female,Single,7,181515,Investments,Yes,0.79,Commercial_Rented,Self-Employed,19,691,8954792,Vehicle,300,Average,Good,Aggressive,Good,Yes,Very_Positive,1
2004-04-15,Female,Married,7,685409,Pension,Yes,0.18,Owned,Self-Employed,29,734,5017292,Home,12,Poor,N/A,Erratic,Poor,No,Very_Positive,1
1961-01-03,Female,Married,9,676495,Investments,No,0.49,Owned,Unemployed,0,401,48351077,Education,240,Poor,N/A,Aggressive,Good,No,Neutral,0
1992-10-14,Female,Single,0,154094,Multiple,Yes,0.74,Commercial_Rented,Salaried,21,894,6429978,Personal,120,Average,N/A,Impulsive,Poor,No,Very_Positive,1
1957-08-14,Female,Single,8,746986,Primary,Yes,0.83,Rented,Self-Employed,20,882,22587178,Business,240,N/A,Good,Impulsive,Good,Yes,Neutral,0
1961-03-17,Male,Single,1,97838,Multiple,Multiple,0.21,Owned,Retired,0,358,41189910,Medical,72,N/A,Poor,Consistent,Average,Yes,Very_Positive,0
1998-10-14,Male,Single,1,372899,Secondary,Multiple,0.33,Joint_Ownership,Salaried,20,458,47608079,Vehicle,240,Good,N/A,Erratic,N/A,Yes,Negative,0
2004-01-26,Female,Single,10,906400,Rental_Income,Multiple,0.22,Owned,Self-Employed,13,357,14015199,Medical,12,Poor,Poor,Cautious,N/A,No,Very_Negative,0
2005-12-05,Female,Single,3,367664,Investments,No,0.28,Joint_Ownership,Unemployed,0,657,33618580,Debt_Consolidation,12,Good,Average,Impulsive,N/A,Yes,Positive,0
1959-08-21,Male,Married,5,91471,Secondary,Multiple,0.79,Commercial_Rented,Student,0,402,25958926,Wedding,108,N/A,N/A,Erratic,N/A,No,Very_Positive,0
1999-02-28,Male,Single,3,716116,Rental_Income,No,0.65,Owned,Student,0,850,7521991,Personal,72,Poor,Poor,Impulsive,Good,No,Negative,0
1995-11-28,Female,Single,10,379473,Rental_Income,No,0.59,Commercial_Owned,Salaried,2,515,31883156,Education,48,N/A,N/A,Consistent,Average,No,Neutral,0
1961-01-08,Male,Married,7,145324,Secondary,Multiple,0.28,Owned,Government,27,464,30700287,Medical,84,Good,Poor,Erratic,N/A,No,Neutral,0
1972-07-15,Female,Married,0,941699,Primary,No,0.02,Owned,Student,0,698,26119183,Medical,60,N/A,Good,Cautious,Good,Yes,Negative,1
1986-08-01,Female,Single,4,718228,Pension,No,0.69,Rented,Salaried,11,370,20466673,Wedding,108,Poor,Poor,Aggressive,Good,No,Positive,0
1955-10-23,Female,Single,7,372358,Rental_Income,No,0.84,Rented,Government,39,828,27207894,Travel,120,Poor,Average,Aggressive,Average,No,Very_Positive,1
1959-01-15,Male,Single,2,891827,Investments,Yes,0.38,Commercial_Rented,Unemployed,0,764,34529822,Home,360,Good,N/A,Consistent,N/A,Yes,Positive,0
1985-07-04,Female,Married,5,694364,Secondary,No,0.69,Joint_Ownership,Self-Employed,32,803,20781811,Home,120,Good,Good,Cautious,N/A,Yes,Positive,1
1998-03-20,Female,Single,4,689211,Secondary,Yes,0.12,Commercial_Owned,Retired,0,680,43416258,Medical,360,Poor,Good,Aggressive,Poor,Yes,Very_Positive,1
1969-03-09,Male,Married,7,844363,Primary,No,0.87,Rented,Unemployed,0,338,10974965,Vehicle,12,Good,Good,Erratic,Average,No,Positive,0
2003-05-13,Male,Single,1,132986,Pension,Multiple,0.37,Owned,Student,0,330,13782560,Vehicle,96,Good,Average,Impulsive,Poor,No,Negative,0
2002-08-25,Male,Single,7,308391,Secondary,Multiple,0.21,Joint_Ownership,Salaried,18,626,19719254,Vehicle,36,N/A,Good,Erratic,Average,No,Positive,1
2002-10-13,Female,Married,7,28706,Multiple,Multiple,0.47,Commercial_Rented,Retired,0,732,44859719,Business,60,Good,Poor,Aggressive,Good,Yes,Very_Positive,0
1967-02-14,Male,Married,7,109121,Rental_Income,Yes,0.37,Commercial_Rented,Student,0,307,17416888,Debt_Consolidation,12,Good,Poor,Aggressive,N/A,Yes,Very_Negative,0
1961-08-22,Female,Single,4,494760,Multiple,Multiple,0.75,Owned,Self-Employed,23,692,14263235,Vehicle,240,Good,Good,Consistent,Poor,No,Neutral,1
1983-05-04,Female,Single,3,824430,Rental_Income,Yes,0.45,Joint_Ownership,Salaried,9,546,6176513,Wedding,24,Average,Poor,Consistent,Poor,No,Negative,1
1965-08-07,Male,Married,5,606510,Primary,Multiple,0.24,Commercial_Rented,Student,0,358,40987310,Personal,240,N/A,Average,Aggressive,Average,No,Very_Positive,0
1967-06-09,Female,Single,5,129182,Investments,No,0.56,Rented,Student,0,502,35122212,Vehicle,48,Good,Good,Impulsive,Good,No,Negative,0
1951-06-24,Male,Married,1,997060,Primary,Yes,0.54,Rented,Student,0,623,3082212,Debt_Consolidation,72,N/A,Average,Aggressive,Average,Yes,Positive,0
1957-03-20,Male,Single,7,20071,Rental_Income,No,0.2,Owned,Unemployed,0,817,14999857,Business,72,Good,Average,Erratic,Good,No,Very_Negative,0
1987-05-17,Female,Single,1,315123,Secondary,Multiple,0.53,Commercial_Owned,Salaried,10,742,19206067,Vehicle,60,Poor,Poor,Consistent,Poor,No,Neutral,1
1976-03-03,Female,Married,5,532382,Secondary,Yes,0.62,Owned,Retired,0,480,4684974,Personal,72,Average,N/A,Impulsive,N/A,Yes,Neutral,0
1982-08-21,Female,Married,2,706970,Primary,Yes,0.38,Commercial_Rented,Self-Employed,18,803,40797545,Home,240,N/A,Poor,Erratic,Average,No,Negative,1
1970-09-19,Female,Single,7,677757,Pension,Yes,0.55,Commercial_Owned,Salaried,2,808,3658046,Business,360,Average,Poor,Aggressive,N/A,No,Very_Negative,1
2002-03-26,Female,Married,2,449581,Rental_Income,Multiple,0.26,Commercial_Owned,Self-Employed,36,671,41375741,Vehicle,72,N/A,Good,Aggressive,Average,Yes,Negative,1
2005-10-25,Male,Single,3,604750,Pension,Multiple,0.08,Rented,Government,4,455,34191103,Business,240,Average,Good,Consistent,Poor,Yes,Positive,0
1977-11-21,Female,Married,2,757176,Pension,Yes,0.76,Joint_Ownership,Self-Employed,34,613,1314358,Wedding,108,Poor,N/A,Consistent,Poor,No,Very_Positive,1
1984-01-18,Female,Married,6,977344,Primary,Yes,0.36,Commercial_Owned,Government,29,644,27676167,Medical,24,N/A,Average,Impulsive,N/A,Yes,Negative,1
1955-06-20,Female,Single,5,129453,Investments,Multiple,0.23,Owned,Salaried,11,510,40367304,Medical,72,Good,Poor,Cautious,Good,Yes,Neutral,0
1952-08-22,Male,Single,3,556068,Primary,Yes,0.4,Commercial_Rented,Retired,0,426,38466081,Wedding,84,Poor,N/A,Cautious,Poor,No,Neutral,0
1997-10-06,Male,Single,2,539614,Primary,No,0.37,Commercial_Rented,Government,2,419,18150415,Education,24,Good,N/A,Aggressive,Good,No,Very_Positive,1
1952-01-07,Male,Married,2,887989,Multiple,Yes,0.88,Rented,Salaried,35,819,49441654,Business,48,Average,Good,Erratic,Poor,No,Negative,0
1971-10-12,Male,Single,9,802703,Investments,No,0.42,Joint_Ownership,Unemployed,0,441,49458507,Vehicle,108,Good,Average,Cautious,Good,No,Very_Positive,0
1988-09-20,Female,Single,6,317049,Multiple,Multiple,0.74,Owned,Government,28,550,37237014,Vehicle,360,Average,Average,Erratic,N/A,Yes,Positive,0
1989-06-13,Female,Married,10,384783,Multiple,Multiple,0.44,Owned,Retired,0,616,24754661,Personal,84,Good,Poor,Consistent,Poor,Yes,Very_Positive,1
1965-09-19,Female,Married,5,670596,Primary,Yes,0.44,Commercial_Owned,Government,38,845,48125095,Wedding,96,Average,Poor,Cautious,N/A,No,Very_Negative,1
1984-01-16,Female,Single,10,113252,Secondary,Multiple,0.68,Commercial_Owned,Retired,0,495,42785215,Wedding,48,Average,Poor,Impulsive,Poor,Yes,Very_Negative,0
1980-02-10,Male,Single,10,982089,Investments,Yes,0.49,Commercial_Owned,Unemployed,0,430,45962558,Business,60,Poor,Average,Consistent,Poor,Yes,Very_Negative,0
1965-06-11,Female,Single,7,783038,Primary,Multiple,0.71,Commercial_Owned,Student,0,374,43197914,Travel,108,Average,N/A,Erratic,Good,No,Very_Negative,0
2004-11-07,Female,Married,10,906580,Pension,Yes,0.44,Commercial_Owned,Unemployed,0,677,7385245,Vehicle,24,Good,Average,Cautious,Average,No,Positive,0
1963-04-07,Male,Married,3,387418,Primary,No,0.21,Rented,Retired,0,662,15231030,Travel,300,Average,N/A,Cautious,Average,No,Very_Negative,1
1990-02-17,Male,Single,6,603450,Primary,Multiple,0.1,Commercial_Rented,Government,1,823,15466010,Medical,96,Poor,Good,Consistent,Average,No,Negative,1
1999-07-03,Female,Married,6,360253,Investments,Multiple,0.2,Joint_Ownership,Salaried,9,366,4126065,Personal,180,Poor,Poor,Cautious,N/A,No,Neutral,1
1991-01-17,Female,Married,0,113961,Pension,Multiple,0.33,Owned,Unemployed,0,719,19203404,Debt_Consolidation,12,Poor,Good,Cautious,Average,No,Neutral,0
1958-06-18,Female,Single,4,619069,Investments,No,0.51,Commercial_Rented,Self-Employed,32,796,21031969,Personal,240,Poor,Poor,Impulsive,Average,Yes,Very_Positive,0
1988-09-13,Male,Single,7,17708,Rental_Income,Yes,0.68,Rented,Government,13,338,48692111,Education,60,Average,Poor,Impulsive,N/A,Yes,Very_Negative,0
1975-03-13,Male,Married,2,994310,Multiple,Yes,0.5,Owned,Student,0,429,20041928,Education,72,Good,N/A,Aggressive,Poor,No,Positive,1
1988-11-21,Female,Married,0,32525,Secondary,Multiple,0.35,Commercial_Owned,Retired,0,661,20666834,Vehicle,84,Good,Poor,Impulsive,Good,Yes,Positive,1
1986-03-19,Male,Single,2,966519,Primary,Multiple,0.12,Owned,Retired,0,785,13563263,Education,300,N/A,N/A,Erratic,Good,No,Very_Negative,1
1961-06-24,Female,Married,2,986682,Rental_Income,Multiple,0.63,Rented,Salaried,34,725,24214618,Business,300,N/A,Average,Cautious,Good,No,Neutral,1
1982-11-09,Male,Married,10,175223,Investments,No,0.4,Owned,Unemployed,0,468,7385053,Medical,84,Poor,Poor,Aggressive,Good,Yes,Negative,0
1978-06-20,Male,Single,9,66004,Rental_Income,Yes,0.7,Rented,Unemployed,0,898,37709005,Personal,120,Poor,Good,Erratic,Poor,Yes,Neutral,0
2006-04-24,Male,Single,2,715985,Multiple,Yes,0.38,Commercial_Rented,Unemployed,0,846,45741968,Business,48,N/A,Good,Erratic,Good,Yes,Neutral,0
1960-08-07,Female,Single,8,913125,Investments,Yes,0.61,Commercial_Rented,Unemployed,0,628,3739397,Business,12,N/A,Good,Cautious,Average,No,Neutral,0
1998-03-22,Male,Married,2,458033,Pension,Multiple,0.6,Rented,Retired,0,402,22721656,Personal,300,Poor,Average,Consistent,Poor,No,Very_Positive,0
1967-04-24,Male,Married,2,517229,Secondary,No,0.45,Commercial_Rented,Salaried,32,511,8928966,Travel,96,Poor,Average,Aggressive,Good,No,Very_Positive,1
2006-12-02,Male,Single,7,557598,Primary,Multiple,0.36,Owned,Salaried,8,446,20780501,Vehicle,96,Poor,Average,Cautious,Good,Yes,Very_Negative,0
1959-02-09,Male,Single,4,701762,Secondary,Yes,0.04,Joint_Ownership,Retired,0,429,32033481,Personal,120,Average,Good,Aggressive,Average,No,Negative,0
2006-12-19,Male,Single,8,518598,Multiple,Yes,0.39,Commercial_Rented,Student,0,381,9500751,Personal,96,Good,N/A,Impulsive,Good,Yes,Positive,0
2003-10-11,Male,Single,7,949729,Primary,No,0.26,Rented,Self-Employed,19,645,233116,Wedding,108,Good,Poor,Aggressive,N/A,No,Very_Negative,1
1993-02-12,Male,Married,9,766768,Rental_Income,Yes,0.57,Commercial_Owned,Self-Employed,38,745,15294980,Debt_Consolidation,180,Good,Good,Erratic,Poor,No,Very_Positive,1
1984-11-18,Female,Single,1,65677,Multiple,No,0.02,Owned,Government,21,314,25019113,Debt_Consolidation,300,N/A,N/A,Impulsive,Poor,Yes,Very_Negative,0
1958-03-28,Female,Single,7,328549,Pension,Multiple,0.59,Owned,Government,0,584,47895076,Personal,120,Poor,Average,Erratic,N/A,Yes,Neutral,0
1962-03-18,Female,Single,10,105640,Primary,Multiple,0.86,Commercial_Rented,Salaried,16,615,36465728,Wedding,120,Poor,N/A,Consistent,Poor,Yes,Positive,0
1950-09-06,Female,Single,1,984728,Secondary,Yes,0.32,Owned,Government,0,453,45217726,Education,360,Poor,N/A,Impulsive,Good,Yes,Positive,1
1988-04-22,Male,Single,4,164366,Secondary,No,0.86,Rented,Government,38,573,33663773,Education,108,Average,Average,Aggressive,Average,No,Negative,0
1956-07-13,Male,Married,0,210971,Secondary,No,0.07,Commercial_Owned,Unemployed,0,390,25999460,Education,180,N/A,Poor,Erratic,Good,No,Very_Negative,0
1954-09-24,Female,Married,4,428559,Primary,Yes,0.47,Rented,Student,0,509,32284227,Medical,96,Poor,N/A,Impulsive,N/A,No,Very_Positive,0
1958-03-12,Female,Married,9,895974,Secondary,Yes,0.35,Commercial_Owned,Student,0,435,9880396,Personal,84,Average,Average,Impulsive,Poor,Yes,Positive,0
1995-03-12,Female,Single,6,763776,Multiple,Multiple,0.78,Joint_Ownership,Student,0,380,22608638,Education,240,Poor,Poor,Cautious,Average,Yes,Negative,0
1963-01-11,Male,Single,0,848179,Investments,No,0.12,Joint_Ownership,Self-Employed,5,352,21589164,Home,60,N/A,Good,Cautious,Average,No,Negative,1
1974-04-01,Male,Married,1,945063,Secondary,Yes,0.61,Owned,Student,0,745,29799377,Travel,360,Good,Average,Consistent,Good,Yes,Negative,0
2000-01-21,Male,Single,10,947653,Rental_Income,Yes,0.15,Commercial_Rented,Self-Employed,30,666,6765203,Education,84,Poor,N/A,Cautious,Average,Yes,Negative,1
1951-03-16,Female,Married,1,143667,Primary,No,0.39,Commercial_Owned,Salaried,16,875,18329640,Vehicle,180,Good,Good,Erratic,Good,No,Neutral,0
2001-03-24,Female,Single,1,429078,Investments,No,0.2,Commercial_Owned,Retired,0,854,10183284,Home,360,Poor,Poor,Aggressive,N/A,Yes,Negative,1
2007-12-24,Female,Single,7,706337,Pension,Yes,0.68,Commercial_Rented,Self-Employed,35,727,8624577,Business,360,Average,Good,Aggressive,N/A,No,Neutral,0
1988-01-06,Female,Married,3,464185,Primary,No,0.44,Commercial_Rented,Student,0,678,5601506,Vehicle,48,Average,Average,Aggressive,Poor,Yes,Very_Positive,0
1988-05-16,Female,Single,1,705148,Rental_Income,No,0.83,Commercial_Owned,Unemployed,0,366,49891801,Travel,84,Average,Average,Aggressive,Poor,Yes,Positive,0
2004-06-22,Female,Married,0,811104,Investments,No,0.2,Commercial_Rented,Salaried,16,357,35141229,Vehicle,108,Poor,Average,Aggressive,Good,Yes,Positive,1
1999-11-19,Male,Married,5,411762,Secondary,Multiple,0.01,Commercial_Owned,Unemployed,0,398,9385768,Home,36,Good,Good,Aggressive,Good,Yes,Very_Positive,1
1953-09-02,Female,Single,3,960601,Secondary,No,0.53,Commercial_Owned,Salaried,15,719,34528243,Personal,240,Good,Average,Aggressive,Good,Yes,Very_Negative,0
1961-11-06,Female,Married,2,285091,Rental_Income,Yes,0.43,Joint_Ownership,Government,24,385,17669325,Wedding,240,N/A,Average,Impulsive,Average,Yes,Very_Positive,1
2001-01-13,Female,Single,4,789086,Pension,Multiple,0.39,Owned,Retired,0,772,47192455,Wedding,180,Average,Good,Erratic,Average,No,Neutral,1
2001-07-12,Female,Married,9,963224,Multiple,Multiple,0.4,Joint_Ownership,Self-Employed,30,570,49648675,Business,72,Good,Poor,Impulsive,Good,Yes,Very_Positive,1
2003-03-23,Male,Single,8,864833,Investments,Yes,0.63,Rented,Unemployed,0,664,45021273,Vehicle,24,Poor,Good,Erratic,N/A,No,Negative,0
1986-11-17,Male,Married,10,851272,Multiple,Multiple,0.15,Rented,Unemployed,0,877,39180114,Home,108,Average,Good,Impulsive,Good,Yes,Neutral,1
1965-05-28,Female,Married,7,861249,Multiple,Yes,0.41,Rented,Unemployed,0,559,3211777,Travel,72,Good,Poor,Consistent,Poor,Yes,Positive,0
2003-07-12,Female,Married,3,109572,Secondary,No,0.42,Rented,Self-Employed,0,679,8594202,Wedding,72,Average,N/A,Erratic,Poor,Yes,Negative,0
2002-09-15,Female,Married,2,505012,Secondary,Multiple,0.61,Joint_Ownership,Student,0,429,25671173,Business,24,N/A,N/A,Consistent,Average,Yes,Very_Positive,0
1997-03-23,Female,Single,3,424975,Primary,No,0.14,Owned,Government,35,368,28343749,Medical,96,Average,Poor,Aggressive,N/A,No,Negative,1
2006-02-27,Male,Single,10,545691,Rental_Income,Yes,0.44,Commercial_Rented,Retired,0,675,17177001,Vehicle,72,Good,N/A,Consistent,Good,No,Very_Negative,0
1965-06-20,Male,Married,8,623292,Investments,Yes,0.2,Commercial_Owned,Salaried,25,329,24036739,Debt_Consolidation,96,Good,N/A,Cautious,Average,No,Very_Negative,1
1957-02-03,Male,Married,1,614782,Secondary,Yes,0.62,Owned,Student,0,484,27266293,Travel,84,Poor,N/A,Aggressive,Average,Yes,Neutral,0
1956-12-15,Female,Single,5,919056,Investments,No,0.4,Joint_Ownership,Retired,0,493,35128329,Debt_Consolidation,24,Good,Poor,Impulsive,Average,No,Neutral,0
1951-04-02,Male,Single,8,567057,Primary,Multiple,0.1,Commercial_Owned,Salaried,7,711,32045584,Education,360,Good,Poor,Erratic,N/A,Yes,Very_Positive,0
1978-03-18,Male,Married,6,608033,Rental_Income,Multiple,0.4,Rented,Self-Employed,8,444,21029775,Education,60,Average,Average,Erratic,Good,No,Very_Negative,0
1964-10-17,Male,Single,6,75313,Primary,Yes,0.57,Rented,Student,0,834,27097378,Wedding,240,N/A,N/A,Impulsive,N/A,No,Very_Positive,0
1966-01-05,Male,Single,0,358236,Primary,No,0.71,Joint_Ownership,Self-Employed,10,308,7099553,Business,96,Poor,N/A,Consistent,N/A,Yes,Very_Negative,0
1976-04-09,Male,Single,3,494916,Investments,No,0.62,Rented,Government,33,612,11620650,Debt_Consolidation,96,N/A,Poor,Impulsive,Poor,No,Very_Negative,1
1999-02-18,Male,Married,7,158032,Secondary,Yes,0.48,Owned,Salaried,21,641,32104599,Wedding,60,Good,Good,Impulsive,Average,No,Neutral,1
2006-03-02,Male,Single,1,495733,Primary,Yes,0.2,Joint_Ownership,Self-Employed,10,451,6814462,Home,72,N/A,Average,Aggressive,Poor,No,Very_Negative,0
1977-01-04,Male,Single,6,978031,Pension,Yes,0.61,Commercial_Rented,Government,29,712,26621245,Medical,180,N/A,N/A,Erratic,Good,No,Very_Positive,1
1990-09-25,Male,Single,10,135023,Primary,Multiple,0.66,Commercial_Owned,Salaried,20,896,47422590,Education,48,Average,N/A,Impulsive,N/A,Yes,Very_Positive,1
1986-02-09,Female,Married,6,786465,Secondary,No,0.86,Owned,Unemployed,0,419,5401346,Wedding,120,Poor,Good,Cautious,Good,Yes,Positive,0
1985-04-02,Female,Married,5,137072,Pension,Multiple,0.85,Owned,Self-Employed,9,826,30836103,Personal,12,Poor,N/A,Consistent,Good,Yes,Very_Negative,0
1997-09-22,Male,Married,9,502350,Multiple,Yes,0.74,Joint_Ownership,Student,0,790,42048647,Personal,48,Good,N/A,Cautious,Average,No,Positive,0
1980-07-17,Male,Married,8,433627,Investments,Yes,0.15,Owned,Retired,0,550,18329178,Vehicle,36,Poor,N/A,Cautious,Good,Yes,Very_Negative,0
1971-02-06,Male,Single,10,327087,Rental_Income,Multiple,0.62,Joint_Ownership,Retired,0,429,300287,Personal,96,Average,N/A,Cautious,Average,Yes,Positive,0
1986-06-14,Female,Married,0,490827,Primary,No,0.57,Owned,Salaried,35,310,49299157,Debt_Consolidation,72,N/A,Poor,Cautious,Poor,Yes,Negative,0
1976-11-17,Male,Married,5,812464,Secondary,Multiple,0.34,Rented,Government,11,779,16735051,Vehicle,120,N/A,Average,Consistent,Poor,No,Very_Positive,1
1980-07-16,Female,Married,7,986834,Multiple,Multiple,0.58,Owned,Retired,0,883,48086025,Education,36,Poor,Poor,Consistent,Poor,No,Very_Negative,0
1997-08-05,Male,Married,5,90433,Multiple,No,0.75,Joint_Ownership,Self-Employed,28,444,35626843,Personal,240,Poor,Average,Aggressive,Poor,Yes,Negative,0
1998-07-02,Female,Single,3,508993,Secondary,Multiple,0.15,Joint_Ownership,Salaried,31,540,1362313,Wedding,84,Good,Poor,Aggressive,N/A,Yes,Very_Positive,1
1957-05-22,Male,Married,1,40341,Rental_Income,No,0.03,Owned,Salaried,29,699,43909069,Wedding,108,Good,Poor,Impulsive,Average,Yes,Very_Positive,0
1983-05-18,Male,Married,5,453550,Investments,No,0.83,Commercial_Owned,Student,0,540,15802645,Home,12,Poor,Poor,Cautious,N/A,Yes,Neutral,0
1997-07-25,Male,Single,8,596939,Rental_Income,No,0.79,Commercial_Owned,Salaried,14,375,34334949,Medical,60,N/A,Good,Impulsive,Good,No,Very_Positive,1
1960-05-24,Female,Married,4,666018,Rental_Income,Multiple,0.25,Commercial_Owned,Self-Employed,3,653,29967886,Debt_Consolidation,300,Poor,Average,Aggressive,N/A,No,Very_Negative,0
1974-02-20,Male,Married,6,779672,Multiple,Multiple,0.04,Joint_Ownership,Student,0,681,38346288,Medical,48,Good,Poor,Cautious,Good,No,Neutral,1
1965-04-28,Male,Married,0,29737,Investments,No,0.6,Rented,Retired,0,806,30536308,Vehicle,12,Good,Good,Aggressive,Average,No,Neutral,0
1967-06-04,Female,Single,0,722567,Rental_Income,No,0.8,Joint_Ownership,Salaried,7,674,20403971,Wedding,180,N/A,Good,Erratic,Poor,Yes,Very_Negative,0
1971-02-09,Male,Single,10,112359,Pension,Multiple,0.33,Commercial_Rented,Self-Employed,37,595,8313515,Home,240,Poor,Average,Aggressive,Poor,No,Positive,0
